RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_10s,89935,2.76e-05,1.80e-05,5.51e-04,32,false
2,cnn_lstm,data/splits_20s,8140,5.55e-05,1.85e-05,2.43e-04,64,false
3,cnn_lstm,data/splits_20s,97730,1.62e-04,2.10e-06,5.60e-05,128,true
4,cnn_only,data/splits,80020,3.67e-04,3.93e-05,5.87e-05,32,false
5,cnn_only,data/splits_20s,85980,1.21e-05,5.01e-06,5.96e-06,128,true
6,cnn_only,data/splits_20s,8320,3.61e-04,7.66e-06,7.37e-04,192,false
7,cnn_lstm_ln,data/splits_20s,57361,1.95e-05,6.44e-05,3.75e-04,256,true
8,cnn_lstm_ln,data/splits,79328,8.99e-05,7.70e-06,9.61e-06,256,false
9,cnn_lstm_ln,data/splits_10s,59931,4.48e-04,2.23e-05,6.38e-05,256,false
10,cnn_lstm_seq16,data/splits,66400,3.51e-04,2.99e-06,5.60e-06,192,false
